,band,species,blength,bdepth
172,704,fortis,9.9,9.9
173,705,fortis,11.5,10.1
174,706,fortis,11.2,9.8
175,707,fortis,9.7,7.9
176,708,fortis,12.2,10.8
177,709,fortis,9.2,7.9
178,710,fortis,10.5,10
179,711,fortis,10.5,8.4
180,712,fortis,10.8,9.5
181,713,fortis,10.7,8.8
182,714,fortis,11.8,10.4
183,715,fortis,9.1,8.1
184,716,fortis,10.1,9.8
185,717,fortis,10,8.2
186,719,fortis,11,9.5
187,720,fortis,12.2,10.5
188,721,fortis,11.4,9.7
189,723,fortis,10.9,9.6
190,725,fortis,10.6,9.6
191,726,fortis,9.3,7.9
192,780,fortis,10.9,10.1
193,781,fortis,10.6,9.3
194,785,fortis,11,10.3
195,786,fortis,9,7.9
196,787,fortis,11,9.1
197,788,fortis,10.4,8.9
198,789,fortis,10.4,8.3
199,790,fortis,9.6,9.4
200,801,fortis,10.6,9.5
201,802,fortis,10.1,8.5
202,803,fortis,9.7,8.6
203,804,fortis,9.6,8.5
204,805,fortis,10.1,8.2
205,807,fortis,9.9,7.9
206,808,fortis,11,10
207,809,fortis,10.9,9.4
208,810,fortis,9.7,8
209,811,fortis,10,8.6
210,812,fortis,10.4,9
211,813,fortis,11.6,9.9
212,814,fortis,9.6,8
213,815,fortis,10.8,9.6
214,817,fortis,10.9,9.2
215,818,fortis,10.2,9
216,818,fortis,10.2,9
217,819,fortis,10.4,9.2
218,820,fortis,11,9.5
219,821,fortis,10.7,9.2
220,822,fortis,11.1,9.7
221,823,fortis,10.8,9.1
222,824,fortis,10.9,9.4
223,825,fortis,9.9,8.6
224,826,fortis,11.8,9.8
225,827,fortis,9.7,8
226,828,fortis,11.9,10.4
227,829,fortis,9.6,8.1
228,830,fortis,10.9,9.9
229,831,fortis,10.2,8.6
230,891,fortis,9.9,8
231,892,fortis,11.3,9
232,893,fortis,10.9,9.7
233,894,fortis,9.8,8.1
234,895,fortis,10.3,8.8
235,896,fortis,8.8,7.5
236,897,fortis,11.6,10.2
237,898,fortis,9.9,8.2
238,899,fortis,9.9,8.6
239,900,fortis,9.9,8.7
240,902,fortis,10.4,8.6
241,903,fortis,11.2,9.9
242,904,fortis,10.8,9.5
243,905,fortis,9.9,8.4
244,906,fortis,9.9,8.7
245,907,fortis,10.2,8.2
246,908,fortis,10.4,9.2
247,909,fortis,9.4,8.2
248,910,fortis,10.2,9.2
249,911,fortis,11,9.3
250,912,fortis,10.6,8.9
251,913,fortis,10.5,9
252,914,fortis,10.4,9.1
253,915,fortis,10.2,8.8
254,917,fortis,10.2,8.8
255,919,fortis,11,9.6
256,921,fortis,11.1,10.2
257,922,fortis,9.7,8.2
258,923,fortis,10.5,8.9
259,924,fortis,10.9,9
260,925,fortis,10.7,8.8
261,926,fortis,11,9.9
262,927,fortis,10.9,9.3
263,928,fortis,11.2,9.9
264,929,fortis,11.5,9.5
265,930,fortis,10.8,10
266,931,fortis,10.2,8.9
267,932,fortis,11,9.8
268,933,fortis,10.9,9.9
269,934,fortis,10.5,8.7
270,936,fortis,10.8,9.2
271,941,fortis,9.8,8.2
272,942,fortis,9.7,7.9
273,943,fortis,10.3,9.1
274,944,fortis,10.3,8.3
275,944,fortis,10.3,8.3
276,945,fortis,11.6,10.8
277,945,fortis,11.6,10.8
278,951,fortis,10.9,9.9
279,952,fortis,10.6,9
280,954,fortis,11.5,9.3
281,991,fortis,10.8,9.6
282,1040,fortis,10.83,9.3
283,1368,fortis,11.73,10.2
284,1420,fortis,10.23,8.6
285,1433,fortis,11.83,10.98
286,1560,fortis,11.43,10.28
287,1581,fortis,10.73,9.6
288,1770,fortis,10.33,9.28
289,1857,fortis,10.23,9.5
290,1860,fortis,11.53,9.4
291,1884,fortis,11.03,9.15
292,2102,fortis,11.73,9.8
293,2105,fortis,10.53,9.35
294,2220,fortis,9.93,8.5
295,2381,fortis,11.23,10.5
296,2482,fortis,9.83,8.5
297,2939,fortis,9.63,8.31
298,2955,fortis,10.6,9.9
299,2974,fortis,11.88,10.36
300,3642,fortis,11.03,10.28
301,8016,fortis,10.73,8.9
302,8020,fortis,10.13,8.7
303,20139,fortis,10.15,9.15
304,20165,fortis,10.85,10.35
305,20166,fortis,10.95,8.85
306,20168,fortis,9.85,8.55
307,20204,fortis,10.25,8.95
308,20238,fortis,11.75,10.75
309,20267,fortis,10.95,10.05
310,20273,fortis,10.95,10.15
311,20283,fortis,10.55,8.45
312,20285,fortis,9.65,8.85
313,20286,fortis,11.45,10.25
314,20293,fortis,10.25,9.75
315,20298,fortis,10.05,8.95
316,302,scandens,13.9,8.4
317,304,scandens,14,8.8
318,306,scandens,12.9,8.4
319,310,scandens,13.5,8
320,317,scandens,12.9,7.9
321,318,scandens,14.6,8.9
322,319,scandens,13,8.6
323,322,scandens,14.2,8.5
324,325,scandens,14,8.9
325,327,scandens,14.2,9.1
326,351,scandens,13.1,8.6
327,353,scandens,15.1,9.8
328,357,scandens,13.5,8.2
329,358,scandens,14.4,9
330,359,scandens,14.9,9.7
331,361,scandens,12.9,8.6
332,362,scandens,13,8.2
333,363,scandens,14.9,9
334,364,scandens,14,8.4
335,365,scandens,13.8,8.6
336,367,scandens,13,8.9
337,404,scandens,14.75,9.1
338,406,scandens,13.7,8.3
339,407,scandens,13.8,8.7
340,408,scandens,14,9.6
341,409,scandens,14.6,8.5
342,412,scandens,15.2,9.1
343,421,scandens,13.5,9
344,429,scandens,15.1,9.2
345,460,scandens,15,9.9
346,464,scandens,12.8,8.6
347,467,scandens,14.9,9.2
348,469,scandens,15.3,8.4
349,470,scandens,13.4,8.9
350,471,scandens,14.2,8.5
351,472,scandens,15.1,10.4
352,478,scandens,15.1,9.6
353,508,scandens,14,9.1
354,523,scandens,13.6,9.3
355,525,scandens,14,9.3
356,562,scandens,14,8.8
357,568,scandens,13.9,8.3
358,569,scandens,14,8.8
359,570,scandens,14.9,9.1
360,571,scandens,15.6,10.1
361,573,scandens,13.8,8.9
362,575,scandens,14.4,9.2
363,577,scandens,12.8,8.5
364,612,scandens,14.2,10.2
365,613,scandens,13.4,10.1
366,614,scandens,14,9.2
367,718,scandens,14.8,9.7
368,722,scandens,14.2,9.1
369,724,scandens,13.5,8.5
370,727,scandens,13.4,8.2
371,728,scandens,14.6,9
372,729,scandens,13.5,9.3
373,782,scandens,13.7,8
374,783,scandens,13.9,9.1
375,784,scandens,13.1,8.1
376,806,scandens,13.4,8.3
377,816,scandens,13.8,8.7
378,890,scandens,13.6,8.8
379,901,scandens,14,8.6
380,916,scandens,13.5,8.7
381,918,scandens,12.8,8
382,920,scandens,14,8.8
383,935,scandens,13.4,9
384,953,scandens,14.9,9.1
385,1014,scandens,15.54,9.74
386,1642,scandens,14.63,9.1
387,1748,scandens,14.73,9.8
388,1841,scandens,15.73,10.4
389,1842,scandens,14.83,8.3
390,2084,scandens,15.94,9.44
391,2397,scandens,15.14,9.04
392,8110,scandens,14.23,9
393,20122,scandens,14.15,9.05
394,20151,scandens,14.35,9.65
395,20188,scandens,14.95,9.45
396,20210,scandens,13.95,8.65
397,20223,scandens,14.05,9.45
398,20225,scandens,14.55,9.45
399,20252,scandens,14.05,9.05
400,20255,scandens,14.45,8.75
401,20266,scandens,15.05,9.45
402,20279,scandens,13.25,8.35
